ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
33901,Pocket items,1449964800000,832292,832292,832292,832292,832292,832292,832292,
33901,Pocket items,1450051200000,832292,832292,832292,832292,832292,832292,832292,
33901,Pocket items,1450137600000,832292,832292,832292,832292,832292,832292,832292,
33901,Pocket items,1450224000000,832292,832292,832292,832292,832292,832292,832292,
33901,Pocket items,1450310400000,832292,832292,832292,832292,832292,832292,832292,
33901,Pocket items,1450396800000,832292,832292,832292,832292,832292,832292,832292,
33901,Pocket items,1450483200000,795023,832292,832292,832292,832292,832292,832292,
33901,Pocket items,1450569600000,795023,795023,832292,832292,795023,832292,831049.7,
33901,Pocket items,1450656000000,795023,795023,832292,832292,795023,832292,829807.4,
33901,Pocket items,1450742400000,795023,795023,832292,832292,795023,832292,828565.1,
33901,Pocket items,1450828800000,795023,795023,832292,832292,795023,832292,827322.8,
33901,Pocket items,1450915200000,795023,795023,832292,832292,795023,832292,826080.5,
33901,Pocket items,1451001600000,795023,795023,832292,832292,795023,832292,824838.2,
33901,Pocket items,1451088000000,795023,795023,795023,832292,795023,832292,823595.9,
33901,Pocket items,1451174400000,795023,795023,795023,832292,795023,832292,822353.6,
33901,Pocket items,1451260800000,795023,795023,795023,832292,795023,832292,821111.3,
33901,Pocket items,1451347200000,795023,795023,795023,832292,795023,832292,819869,
33901,Pocket items,1451433600000,795023,795023,795023,832292,795023,832292,818626.7,
33901,Pocket items,1451520000000,795023,795023,795023,832292,795023,832292,817384.4,
33901,Pocket items,1451606400000,795023,795023,795023,832292,795023,832292,816142.1,
33901,Pocket items,1451692800000,795023,795023,795023,832292,795023,832292,814899.8,
33901,Pocket items,1451779200000,795023,795023,795023,832292,795023,832292,813657.5,
33901,Pocket items,1451865600000,795023,795023,795023,832292,795023,832292,812415.2,
33901,Pocket items,1451952000000,795023,795023,795023,832292,795023,832292,811172.9,
33901,Pocket items,1452038400000,795023,795023,795023,832292,795023,832292,809930.6,
33901,Pocket items,1452124800000,795023,795023,795023,832292,795023,832292,808688.3,
33901,Pocket items,1452211200000,795023,795023,795023,832292,795023,832292,807446,
33901,Pocket items,1452297600000,795023,795023,795023,832292,795023,832292,806203.7,
33901,Pocket items,1452384000000,795023,795023,795023,832292,795023,832292,804961.4,
33901,Pocket items,1452470400000,795023,795023,795023,832292,795023,832292,803719.1,
33901,Pocket items,1452556800000,795023,795023,795023,832292,795023,832292,802476.8,
33901,Pocket items,1452643200000,795023,795023,795023,832292,795023,832292,801234.5,
33901,Pocket items,1452729600000,795023,795023,795023,832292,795023,832292,799992.2,
33901,Pocket items,1452816000000,795023,795023,795023,832292,795023,832292,798749.9,
33901,Pocket items,1452902400000,795023,795023,795023,832292,795023,832292,797507.6,
33901,Pocket items,1452988800000,795023,795023,795023,832292,795023,832292,796265.3,
33901,Pocket items,1453075200000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1453161600000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1453248000000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1453334400000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1453420800000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1453507200000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1453593600000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1453680000000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1453766400000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1453852800000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1453939200000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1454025600000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1454112000000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1454198400000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1454284800000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1454371200000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1454457600000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1454544000000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1454630400000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1454716800000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1454803200000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1454889600000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1454976000000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1455062400000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1455148800000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1455235200000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1455321600000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1455408000000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1455494400000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1455580800000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1455667200000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1455753600000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1455840000000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1455926400000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1456012800000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1456099200000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1456185600000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1456272000000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1456358400000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1456444800000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1456531200000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1456617600000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1456704000000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1456790400000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1456876800000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1456963200000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1457049600000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1457136000000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1457222400000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1457308800000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1457395200000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1457481600000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1457568000000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1457654400000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1457740800000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1457827200000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1457913600000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1458000000000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1458086400000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1458172800000,795023,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1458259200000,1312835,795023,795023,795023,795023,795023,795023,
33901,Pocket items,1458345600000,1312835,1312835,795023,795023,795023,1312835,812283.4,
33901,Pocket items,1458432000000,1312835,1312835,795023,795023,795023,1312835,829543.8,
33901,Pocket items,1458518400000,1312835,1312835,795023,795023,795023,1312835,846804.2,
33901,Pocket items,1458604800000,1312835,1312835,795023,795023,795023,1312835,864064.6,
33901,Pocket items,1458691200000,1312835,1312835,795023,795023,795023,1312835,881325,
33901,Pocket items,1458777600000,1312835,1312835,795023,795023,795023,1312835,898585.4,
33901,Pocket items,1458864000000,1312835,1312835,1312835,795023,795023,1312835,915845.8,
33901,Pocket items,1458950400000,1312835,1312835,1312835,795023,795023,1312835,933106.2,
33901,Pocket items,1459036800000,1312835,1312835,1312835,795023,795023,1312835,950366.6,
33901,Pocket items,1459123200000,1312835,1312835,1312835,795023,795023,1312835,967627,
33901,Pocket items,1459209600000,1312835,1312835,1312835,795023,795023,1312835,984887.4,
33901,Pocket items,1459296000000,1312835,1312835,1312835,795023,795023,1312835,1002147.8,
33901,Pocket items,1459382400000,1312835,1312835,1312835,795023,795023,1312835,1019408.2,
33901,Pocket items,1459468800000,1312835,1312835,1312835,795023,795023,1312835,1036668.6,
33901,Pocket items,1459555200000,1312835,1312835,1312835,795023,795023,1312835,1053929,
33901,Pocket items,1459641600000,1312835,1312835,1312835,795023,795023,1312835,1071189.4,
33901,Pocket items,1459728000000,1312835,1312835,1312835,795023,795023,1312835,1088449.8,
33901,Pocket items,1459814400000,1312835,1312835,1312835,795023,795023,1312835,1105710.2,
33901,Pocket items,1459900800000,1312835,1312835,1312835,795023,795023,1312835,1122970.6,
33901,Pocket items,1459987200000,1312835,1312835,1312835,795023,795023,1312835,1140231,
33901,Pocket items,1460073600000,1312835,1312835,1312835,795023,795023,1312835,1157491.4,
33901,Pocket items,1460160000000,1312835,1312835,1312835,795023,795023,1312835,1174751.8,
33901,Pocket items,1460246400000,1312835,1312835,1312835,795023,795023,1312835,1192012.2,
33901,Pocket items,1460332800000,1312835,1312835,1312835,795023,795023,1312835,1209272.6,
33901,Pocket items,1460419200000,1312835,1312835,1312835,795023,795023,1312835,1226533,
33901,Pocket items,1460505600000,1312835,1312835,1312835,795023,795023,1312835,1243793.4,
33901,Pocket items,1460592000000,1312835,1312835,1312835,795023,795023,1312835,1261053.8,
33901,Pocket items,1460678400000,1312835,1312835,1312835,795023,795023,1312835,1278314.2,
33901,Pocket items,1460764800000,1312835,1312835,1312835,795023,795023,1312835,1295574.6,
33901,Pocket items,1460851200000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1460937600000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1461024000000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1461110400000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1461196800000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1461283200000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1461369600000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1461456000000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1461542400000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1461628800000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1461715200000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1461801600000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1461888000000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1461974400000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1462060800000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1462147200000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1462233600000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1462320000000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1462406400000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1462492800000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1462579200000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1462665600000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1462752000000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
33901,Pocket items,1462838400000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,
26292,Pocket items,1449964800000,409419,409419,409419,392178,392178,409419,407694.9,
26292,Pocket items,1450051200000,409419,409419,409419,392178,392178,409419,408269.6,
26292,Pocket items,1450137600000,409419,409419,409419,392178,392178,409419,408844.3,
26292,Pocket items,1450224000000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1450310400000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1450396800000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1450483200000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1450569600000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1450656000000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1450742400000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1450828800000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1450915200000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1451001600000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1451088000000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1451174400000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1451260800000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1451347200000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1451433600000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1451520000000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1451606400000,409419,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1451692800000,428816,409419,409419,409419,409419,409419,409419,
26292,Pocket items,1451779200000,428816,428816,409419,409419,409419,428816,410065.56666666665,
26292,Pocket items,1451865600000,428816,428816,409419,409419,409419,428816,410712.13333333336,
26292,Pocket items,1451952000000,428816,428816,409419,409419,409419,428816,411358.7,
26292,Pocket items,1452038400000,428816,428816,409419,409419,409419,428816,412005.26666666666,
26292,Pocket items,1452124800000,428816,428816,409419,409419,409419,428816,412651.8333333333,
26292,Pocket items,1452211200000,428816,428816,409419,409419,409419,428816,413298.4,
26292,Pocket items,1452297600000,428816,428816,428816,409419,409419,428816,413944.9666666667,
26292,Pocket items,1452384000000,428816,428816,428816,409419,409419,428816,414591.5333333333,
26292,Pocket items,1452470400000,428816,428816,428816,409419,409419,428816,415238.1,
26292,Pocket items,1452556800000,428816,428816,428816,409419,409419,428816,415884.6666666667,
26292,Pocket items,1452643200000,428816,428816,428816,409419,409419,428816,416531.23333333334,
26292,Pocket items,1452729600000,428816,428816,428816,409419,409419,428816,417177.8,
26292,Pocket items,1452816000000,428816,428816,428816,409419,409419,428816,417824.36666666664,
26292,Pocket items,1452902400000,428816,428816,428816,409419,409419,428816,418470.93333333335,
26292,Pocket items,1452988800000,428816,428816,428816,409419,409419,428816,419117.5,
26292,Pocket items,1453075200000,428816,428816,428816,409419,409419,428816,419764.06666666665,
26292,Pocket items,1453161600000,428816,428816,428816,409419,409419,428816,420410.63333333336,
26292,Pocket items,1453248000000,428816,428816,428816,409419,409419,428816,421057.2,
26292,Pocket items,1453334400000,428816,428816,428816,409419,409419,428816,421703.76666666666,
26292,Pocket items,1453420800000,428816,428816,428816,409419,409419,428816,422350.3333333333,
26292,Pocket items,1453507200000,428816,428816,428816,409419,409419,428816,422996.9,
26292,Pocket items,1453593600000,428816,428816,428816,409419,409419,428816,423643.4666666667,
26292,Pocket items,1453680000000,428816,428816,428816,409419,409419,428816,424290.0333333333,
26292,Pocket items,1453766400000,428816,428816,428816,409419,409419,428816,424936.6,
26292,Pocket items,1453852800000,428816,428816,428816,409419,409419,428816,425583.1666666667,
26292,Pocket items,1453939200000,428816,428816,428816,409419,409419,428816,426229.73333333334,
26292,Pocket items,1454025600000,428816,428816,428816,409419,409419,428816,426876.3,
26292,Pocket items,1454112000000,428816,428816,428816,409419,409419,428816,427522.86666666664,
26292,Pocket items,1454198400000,428816,428816,428816,409419,409419,428816,428169.43333333335,
26292,Pocket items,1454284800000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1454371200000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1454457600000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1454544000000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1454630400000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1454716800000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1454803200000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1454889600000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1454976000000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1455062400000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1455148800000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1455235200000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1455321600000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1455408000000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1455494400000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1455580800000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1455667200000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1455753600000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1455840000000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1455926400000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1456012800000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1456099200000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1456185600000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1456272000000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1456358400000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1456444800000,428816,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1456531200000,446920,428816,428816,428816,428816,428816,428816,
26292,Pocket items,1456617600000,446920,446920,428816,428816,428816,446920,429419.4666666667,
26292,Pocket items,1456704000000,446920,446920,428816,428816,428816,446920,430022.93333333335,
26292,Pocket items,1456790400000,446920,446920,428816,428816,428816,446920,430626.4,
26292,Pocket items,1456876800000,446920,446920,428816,428816,428816,446920,431229.86666666664,
26292,Pocket items,1456963200000,446920,446920,428816,428816,428816,446920,431833.3333333333,
26292,Pocket items,1457049600000,446920,446920,428816,428816,428816,446920,432436.8,
26292,Pocket items,1457136000000,446920,446920,446920,428816,428816,446920,433040.26666666666,
26292,Pocket items,1457222400000,446920,446920,446920,428816,428816,446920,433643.73333333334,
26292,Pocket items,1457308800000,446920,446920,446920,428816,428816,446920,434247.2,
26292,Pocket items,1457395200000,446920,446920,446920,428816,428816,446920,434850.6666666667,
26292,Pocket items,1457481600000,446920,446920,446920,428816,428816,446920,435454.13333333336,
26292,Pocket items,1457568000000,446920,446920,446920,428816,428816,446920,436057.6,
26292,Pocket items,1457654400000,446920,446920,446920,428816,428816,446920,436661.06666666665,
26292,Pocket items,1457740800000,446920,446920,446920,428816,428816,446920,437264.5333333333,
26292,Pocket items,1457827200000,446920,446920,446920,428816,428816,446920,437868,
26292,Pocket items,1457913600000,446920,446920,446920,428816,428816,446920,438471.4666666667,
26292,Pocket items,1458000000000,446920,446920,446920,428816,428816,446920,439074.93333333335,
26292,Pocket items,1458086400000,446920,446920,446920,428816,428816,446920,439678.4,
26292,Pocket items,1458172800000,446920,446920,446920,428816,428816,446920,440281.86666666664,
26292,Pocket items,1458259200000,945822,446920,446920,428816,428816,446920,440885.3333333333,
26292,Pocket items,1458345600000,945822,945822,446920,428816,428816,945822,458118.86666666664,
26292,Pocket items,1458432000000,945822,945822,446920,428816,428816,945822,475352.4,
26292,Pocket items,1458518400000,945822,945822,446920,428816,428816,945822,492585.93333333335,
26292,Pocket items,1458604800000,945822,945822,446920,428816,428816,945822,509819.4666666667,
26292,Pocket items,1458691200000,945822,945822,446920,428816,428816,945822,527053,
26292,Pocket items,1458777600000,945822,945822,446920,428816,428816,945822,544286.5333333333,
26292,Pocket items,1458864000000,945822,945822,945822,428816,428816,945822,561520.0666666667,
26292,Pocket items,1458950400000,945822,945822,945822,428816,428816,945822,578753.6,
26292,Pocket items,1459036800000,945822,945822,945822,428816,428816,945822,595987.1333333333,
26292,Pocket items,1459123200000,945822,945822,945822,446920,446920,945822,613220.6666666666,
26292,Pocket items,1459209600000,945822,945822,945822,446920,446920,945822,629850.7333333333,
26292,Pocket items,1459296000000,945822,945822,945822,446920,446920,945822,646480.8,
26292,Pocket items,1459382400000,945822,945822,945822,446920,446920,945822,663110.8666666667,
26292,Pocket items,1459468800000,945822,945822,945822,446920,446920,945822,679740.9333333333,
26292,Pocket items,1459555200000,945822,945822,945822,446920,446920,945822,696371,
26292,Pocket items,1459641600000,945822,945822,945822,446920,446920,945822,713001.0666666667,
26292,Pocket items,1459728000000,945822,945822,945822,446920,446920,945822,729631.1333333333,
26292,Pocket items,1459814400000,945822,945822,945822,446920,446920,945822,746261.2,
26292,Pocket items,1459900800000,945822,945822,945822,446920,446920,945822,762891.2666666667,
26292,Pocket items,1459987200000,945822,945822,945822,446920,446920,945822,779521.3333333334,
26292,Pocket items,1460073600000,945822,945822,945822,446920,446920,945822,796151.4,
26292,Pocket items,1460160000000,945822,945822,945822,446920,446920,945822,812781.4666666667,
26292,Pocket items,1460246400000,945822,945822,945822,446920,446920,945822,829411.5333333333,
26292,Pocket items,1460332800000,945822,945822,945822,446920,446920,945822,846041.6,
26292,Pocket items,1460419200000,945822,945822,945822,446920,446920,945822,862671.6666666666,
26292,Pocket items,1460505600000,945822,945822,945822,446920,446920,945822,879301.7333333333,
26292,Pocket items,1460592000000,945822,945822,945822,446920,446920,945822,895931.8,
26292,Pocket items,1460678400000,945822,945822,945822,446920,446920,945822,912561.8666666667,
26292,Pocket items,1460764800000,945822,945822,945822,446920,446920,945822,929191.9333333333,
26292,Pocket items,1460851200000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1460937600000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1461024000000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1461110400000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1461196800000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1461283200000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1461369600000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1461456000000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1461542400000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1461628800000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1461715200000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1461801600000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1461888000000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1461974400000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1462060800000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1462147200000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1462233600000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1462320000000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1462406400000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1462492800000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1462579200000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1462665600000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1462752000000,945822,945822,945822,945822,945822,945822,945822,
26292,Pocket items,1462838400000,945822,945822,945822,945822,945822,945822,945822,
26283,Pocket items,1449964800000,121636,121636,121636,121636,121636,121636,121636,
26283,Pocket items,1450051200000,121636,121636,121636,121636,121636,121636,121636,
26283,Pocket items,1450137600000,121636,121636,121636,121636,121636,121636,121636,
26283,Pocket items,1450224000000,121636,121636,121636,121636,121636,121636,121636,
26283,Pocket items,1450310400000,121636,121636,121636,121636,121636,121636,121636,
26283,Pocket items,1450396800000,121636,121636,121636,121636,121636,121636,121636,
26283,Pocket items,1450483200000,121636,121636,121636,121636,121636,121636,121636,
26283,Pocket items,1450569600000,121636,121636,121636,121636,121636,121636,121636,
26283,Pocket items,1450656000000,127504,121636,121636,121636,121636,121636,121636,
26283,Pocket items,1450742400000,127504,127504,121636,121636,121636,127504,121831.6,
26283,Pocket items,1450828800000,127504,127504,121636,121636,121636,127504,122027.2,
26283,Pocket items,1450915200000,127504,127504,121636,121636,121636,127504,122222.8,
26283,Pocket items,1451001600000,127504,127504,121636,121636,121636,127504,122418.4,
26283,Pocket items,1451088000000,127504,127504,121636,121636,121636,127504,122614,
26283,Pocket items,1451174400000,127504,127504,121636,121636,121636,127504,122809.6,
26283,Pocket items,1451260800000,127504,127504,127504,121636,121636,127504,123005.2,
26283,Pocket items,1451347200000,127504,127504,127504,121636,121636,127504,123200.8,
26283,Pocket items,1451433600000,127504,127504,127504,121636,121636,127504,123396.4,
26283,Pocket items,1451520000000,127504,127504,127504,121636,121636,127504,123592,
26283,Pocket items,1451606400000,127504,127504,127504,121636,121636,127504,123787.6,
26283,Pocket items,1451692800000,127504,127504,127504,121636,121636,127504,123983.2,
26283,Pocket items,1451779200000,127504,127504,127504,121636,121636,127504,124178.8,
26283,Pocket items,1451865600000,127504,127504,127504,121636,121636,127504,124374.4,
26283,Pocket items,1451952000000,127504,127504,127504,121636,121636,127504,124570,
26283,Pocket items,1452038400000,127504,127504,127504,121636,121636,127504,124765.6,
26283,Pocket items,1452124800000,127504,127504,127504,121636,121636,127504,124961.2,
26283,Pocket items,1452211200000,127504,127504,127504,121636,121636,127504,125156.8,
26283,Pocket items,1452297600000,127504,127504,127504,121636,121636,127504,125352.4,
26283,Pocket items,1452384000000,127504,127504,127504,121636,121636,127504,125548,
26283,Pocket items,1452470400000,127504,127504,127504,121636,121636,127504,125743.6,
26283,Pocket items,1452556800000,127504,127504,127504,121636,121636,127504,125939.2,
26283,Pocket items,1452643200000,127504,127504,127504,121636,121636,127504,126134.8,
26283,Pocket items,1452729600000,127504,127504,127504,121636,121636,127504,126330.4,
26283,Pocket items,1452816000000,127504,127504,127504,121636,121636,127504,126526,
26283,Pocket items,1452902400000,127504,127504,127504,121636,121636,127504,126721.6,
26283,Pocket items,1452988800000,127504,127504,127504,121636,121636,127504,126917.2,
26283,Pocket items,1453075200000,127504,127504,127504,121636,121636,127504,127112.8,
26283,Pocket items,1453161600000,127504,127504,127504,121636,121636,127504,127308.4,
26283,Pocket items,1453248000000,127504,127504,127504,127504,127504,127504,127504,
26283,Pocket items,1453334400000,127504,127504,127504,127504,127504,127504,127504,
26283,Pocket items,1453420800000,127504,127504,127504,127504,127504,127504,127504,
26283,Pocket items,1453507200000,127504,127504,127504,127504,127504,127504,127504,
26283,Pocket items,1453593600000,133581,127504,127504,127504,127504,127504,127504,
26283,Pocket items,1453680000000,133581,133581,127504,127504,127504,133581,127706.56666666667,
26283,Pocket items,1453766400000,133581,133581,127504,127504,127504,133581,127909.13333333333,
26283,Pocket items,1453852800000,133581,133581,127504,127504,127504,133581,128111.7,
26283,Pocket items,1453939200000,133581,133581,127504,127504,127504,133581,128314.26666666666,
26283,Pocket items,1454025600000,133581,133581,127504,127504,127504,133581,128516.83333333333,
26283,Pocket items,1454112000000,133581,133581,127504,127504,127504,133581,128719.4,
26283,Pocket items,1454198400000,133581,133581,133581,127504,127504,133581,128921.96666666666,
26283,Pocket items,1454284800000,133581,133581,133581,127504,127504,133581,129124.53333333334,
26283,Pocket items,1454371200000,133581,133581,133581,127504,127504,133581,129327.1,
26283,Pocket items,1454457600000,133581,133581,133581,127504,127504,133581,129529.66666666667,
26283,Pocket items,1454544000000,133581,133581,133581,127504,127504,133581,129732.23333333334,
26283,Pocket items,1454630400000,133581,133581,133581,127504,127504,133581,129934.8,
