ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg,p_change_day0_to_day1,p_change_day1_to_day2,p_change_day2_to_day3,p_change_day3_to_day4,p_change_day4_to_day5,p_change_day5_to_day6,p_change_day6_to_day7,p_change_day7_to_day8,p_change_day8_to_day9,p_change_day9_to_day10,p_change_day10_to_day11,p_change_day11_to_day12,p_change_day12_to_day13,p_change_day13_to_day14,p_change_day14_to_day15,p_change_day15_to_day16,p_change_day16_to_day17,p_change_day17_to_day18,p_change_day18_to_day19,p_change_day19_to_day20,p_change_day20_to_day21,p_change_day21_to_day22,p_change_day22_to_day23,p_change_day23_to_day24,p_change_day24_to_day25,p_change_day25_to_day26,p_change_day26_to_day27,p_change_day27_to_day28,p_change_day28_to_day29
33901,Pocket items,1461110400000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1461196800000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1461283200000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1461369600000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1461456000000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1461542400000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1461628800000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1461715200000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1461801600000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1461888000000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1461974400000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1462060800000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1462147200000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1462233600000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1462320000000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1462406400000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1462492800000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1462579200000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1462665600000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1462752000000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33901,Pocket items,1462838400000,1312835,1312835,1312835,1312835,1312835,1312835,1312835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1449964800000,409419,409419,409419,392178,392178,409419,408269.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.396218043847436,0
26292,Pocket items,1450051200000,409419,409419,409419,392178,392178,409419,408844.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.396218043847436
26292,Pocket items,1450137600000,409419,409419,409419,392178,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1450224000000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1450310400000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1450396800000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1450483200000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1450569600000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1450656000000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1450742400000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1450828800000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1450915200000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1451001600000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1451088000000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1451174400000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1451260800000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1451347200000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1451433600000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1451520000000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1451606400000,409419,409419,409419,409419,409419,409419,409419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1451692800000,428816,409419,409419,409419,409419,428816,410065.56666666665,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1451779200000,428816,428816,409419,409419,409419,428816,410712.13333333336,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1451865600000,428816,428816,409419,409419,409419,428816,411358.7,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1451952000000,428816,428816,409419,409419,409419,428816,412005.26666666666,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1452038400000,428816,428816,409419,409419,409419,428816,412651.8333333333,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1452124800000,428816,428816,409419,409419,409419,428816,413298.4,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1452211200000,428816,428816,409419,409419,409419,428816,413944.9666666667,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1452297600000,428816,428816,428816,409419,409419,428816,414591.5333333333,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1452384000000,428816,428816,428816,409419,409419,428816,415238.1,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1452470400000,428816,428816,428816,409419,409419,428816,415884.6666666667,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1452556800000,428816,428816,428816,409419,409419,428816,416531.23333333334,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1452643200000,428816,428816,428816,409419,409419,428816,417177.8,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1452729600000,428816,428816,428816,409419,409419,428816,417824.36666666664,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1452816000000,428816,428816,428816,409419,409419,428816,418470.93333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1452902400000,428816,428816,428816,409419,409419,428816,419117.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1452988800000,428816,428816,428816,409419,409419,428816,419764.06666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1453075200000,428816,428816,428816,409419,409419,428816,420410.63333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1453161600000,428816,428816,428816,409419,409419,428816,421057.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1453248000000,428816,428816,428816,409419,409419,428816,421703.76666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1453334400000,428816,428816,428816,409419,409419,428816,422350.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0,0
26292,Pocket items,1453420800000,428816,428816,428816,409419,409419,428816,422996.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0,0
26292,Pocket items,1453507200000,428816,428816,428816,409419,409419,428816,423643.4666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0,0
26292,Pocket items,1453593600000,428816,428816,428816,409419,409419,428816,424290.0333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0,0
26292,Pocket items,1453680000000,428816,428816,428816,409419,409419,428816,424936.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0,0
26292,Pocket items,1453766400000,428816,428816,428816,409419,409419,428816,425583.1666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0,0
26292,Pocket items,1453852800000,428816,428816,428816,409419,409419,428816,426229.73333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0,0
26292,Pocket items,1453939200000,428816,428816,428816,409419,409419,428816,426876.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0,0
26292,Pocket items,1454025600000,428816,428816,428816,409419,409419,428816,427522.86666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684,0
26292,Pocket items,1454112000000,428816,428816,428816,409419,409419,428816,428169.43333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.737689262100684
26292,Pocket items,1454198400000,428816,428816,428816,409419,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1454284800000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1454371200000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1454457600000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1454544000000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1454630400000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1454716800000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1454803200000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1454889600000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1454976000000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1455062400000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1455148800000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1455235200000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1455321600000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1455408000000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1455494400000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1455580800000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1455667200000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1455753600000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1455840000000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1455926400000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1456012800000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1456099200000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1456185600000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1456272000000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1456358400000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1456444800000,428816,428816,428816,428816,428816,428816,428816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1456531200000,446920,428816,428816,428816,428816,446920,429419.4666666667,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1456617600000,446920,446920,428816,428816,428816,446920,430022.93333333335,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1456704000000,446920,446920,428816,428816,428816,446920,430626.4,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1456790400000,446920,446920,428816,428816,428816,446920,431229.86666666664,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1456876800000,446920,446920,428816,428816,428816,446920,431833.3333333333,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1456963200000,446920,446920,428816,428816,428816,446920,432436.8,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1457049600000,446920,446920,428816,428816,428816,446920,433040.26666666666,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1457136000000,446920,446920,446920,428816,428816,446920,433643.73333333334,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1457222400000,446920,446920,446920,428816,428816,446920,434247.2,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1457308800000,446920,446920,446920,428816,428816,446920,434850.6666666667,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1457395200000,446920,446920,446920,428816,428816,446920,435454.13333333336,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1457481600000,446920,446920,446920,428816,428816,446920,436057.6,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1457568000000,446920,446920,446920,428816,428816,446920,436661.06666666665,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1457654400000,446920,446920,446920,428816,428816,446920,437264.5333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1457740800000,446920,446920,446920,428816,428816,446920,437868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1457827200000,446920,446920,446920,428816,428816,446920,438471.4666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1457913600000,446920,446920,446920,428816,428816,446920,439074.93333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1458000000000,446920,446920,446920,428816,428816,446920,439678.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1458086400000,446920,446920,446920,428816,428816,446920,440281.86666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1458172800000,446920,446920,446920,428816,428816,446920,440885.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0,0
26292,Pocket items,1458259200000,945822,446920,446920,428816,428816,945822,458118.86666666664,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0,0
26292,Pocket items,1458345600000,945822,945822,446920,428816,428816,945822,475352.4,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0,0
26292,Pocket items,1458432000000,945822,945822,446920,428816,428816,945822,492585.93333333335,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0,0
26292,Pocket items,1458518400000,945822,945822,446920,428816,428816,945822,509819.4666666667,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0,0
26292,Pocket items,1458604800000,945822,945822,446920,428816,428816,945822,527053,0,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0,0
26292,Pocket items,1458691200000,945822,945822,446920,428816,428816,945822,544286.5333333333,0,0,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0,0
26292,Pocket items,1458777600000,945822,945822,446920,428816,428816,945822,561520.0666666667,0,0,0,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0,0
26292,Pocket items,1458864000000,945822,945822,945822,428816,428816,945822,578753.6,0,0,0,0,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844,0
26292,Pocket items,1458950400000,945822,945822,945822,428816,428816,945822,595987.1333333333,0,0,0,0,0,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221857393380844
26292,Pocket items,1459036800000,945822,945822,945822,428816,446920,945822,613220.6666666666,0,0,0,0,0,0,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1459123200000,945822,945822,945822,446920,446920,945822,629850.7333333333,0,0,0,0,0,0,0,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1459209600000,945822,945822,945822,446920,446920,945822,646480.8,0,0,0,0,0,0,0,0,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1459296000000,945822,945822,945822,446920,446920,945822,663110.8666666667,0,0,0,0,0,0,0,0,0,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1459382400000,945822,945822,945822,446920,446920,945822,679740.9333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1459468800000,945822,945822,945822,446920,446920,945822,696371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1459555200000,945822,945822,945822,446920,446920,945822,713001.0666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1459641600000,945822,945822,945822,446920,446920,945822,729631.1333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0,0
26292,Pocket items,1459728000000,945822,945822,945822,446920,446920,945822,746261.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.63116441421283,0,0,0,0,0,0,0,0,0,0,0
