@relation 'Crafting materials-weka.filters.unsupervised.attribute.Remove-R1-11'

@attribute p_change_day0_to_day1 numeric
@attribute p_change_day1_to_day2 numeric
@attribute p_change_day2_to_day3 numeric
@attribute p_change_day3_to_day4 numeric
@attribute p_change_day4_to_day5 numeric
@attribute p_change_day5_to_day6 numeric
@attribute p_change_day6_to_day7 numeric
@attribute p_change_day7_to_day8 numeric
@attribute p_change_day8_to_day9 numeric
@attribute p_change_day9_to_day10 numeric
@attribute p_change_day10_to_day11 numeric
@attribute p_change_day11_to_day12 numeric
@attribute p_change_day12_to_day13 numeric
@attribute p_change_day13_to_day14 numeric
@attribute p_change_day14_to_day15 numeric
@attribute p_change_day15_to_day16 numeric
@attribute p_change_day16_to_day17 numeric
@attribute p_change_day17_to_day18 numeric
@attribute p_change_day18_to_day19 numeric
@attribute p_change_day19_to_day20 numeric
@attribute p_change_day20_to_day21 numeric
@attribute p_change_day21_to_day22 numeric
@attribute p_change_day22_to_day23 numeric
@attribute p_change_day23_to_day24 numeric
@attribute p_change_day24_to_day25 numeric
@attribute p_change_day25_to_day26 numeric
@attribute p_change_day26_to_day27 numeric
@attribute p_change_day27_to_day28 numeric
@attribute p_change_day28_to_day29 numeric

@data
1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529,4.180829,4.326241,4.988831,4.799064
2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529,4.180829,4.326241,4.988831
1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529,4.180829,4.326241
1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529,4.180829
2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895,-0.652529
2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451,-2.495895
-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703,-2.69451
-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227,1.730703
-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191,-0.306227
0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876,-3.208191
-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264,-3.631876
4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478,-3.366264
1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552,-3.218478
0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611,2.073552
2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175,3.334611
-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383,2.893175
0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089,2.487383
-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757,-0.422089
-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285,0.847757
-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629,3.047285
-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931,1.325629
-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072,2.146931
-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703,-3.284072
-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221,-4.074703
-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347,-3.575221
2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706,-0.844347
3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344,-4.294706
4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984,2.166344
4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208,1.400984
3.455571,4.226387,4.8151,3.261734,2.278275,-1.837061,-1.22288,-3.428571,-4.19708,-0.182149,-3.447063,-2.503429,-3.283582,0.5,-1.153213,2.326365,0.576467,1.79496,4.547095,-0.431189,0.21606,-0.89222,-2.77585,-2.569304,2.282158,2.046577,1.577061,1.602331,2.539208
