ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg,01_change_type,p_change_day0_to_day1,p_change_day1_to_day2,p_change_day2_to_day3,p_change_day3_to_day4,p_change_day4_to_day5,p_change_day5_to_day6,p_change_day6_to_day7,p_change_day7_to_day8,p_change_day8_to_day9,p_change_day9_to_day10,p_change_day10_to_day11,p_change_day11_to_day12,p_change_day12_to_day13,p_change_day13_to_day14,p_change_day14_to_day15,p_change_day15_to_day16,p_change_day16_to_day17,p_change_day17_to_day18,p_change_day18_to_day19,p_change_day19_to_day20,p_change_day20_to_day21,p_change_day21_to_day22,p_change_day22_to_day23,p_change_day23_to_day24,p_change_day24_to_day25,p_change_day25_to_day26,p_change_day26_to_day27,p_change_day27_to_day28,p_change_day28_to_day29
4823,Construction materials,1451779200000,62,62,60,52,52,62,57.766666666666666,S,0,3.3333333333333335,0,0,0,0,0,0,0,0,3.4482758620689653,0,0,0,0,0,0,0,0,5.454545454545454,0,0,0,0,0,0,0,0,5.769230769230769
4823,Construction materials,1451865600000,62,62,60,52,55,62,58.1,S,0,0,3.3333333333333335,0,0,0,0,0,0,0,0,3.4482758620689653,0,0,0,0,0,0,0,0,5.454545454545454,0,0,0,0,0,0,0,0
4823,Construction materials,1451952000000,62,62,60,55,55,62,58.333333333333336,S,0,0,0,3.3333333333333335,0,0,0,0,0,0,0,0,3.4482758620689653,0,0,0,0,0,0,0,0,5.454545454545454,0,0,0,0,0,0,0
4823,Construction materials,1452038400000,62,62,60,55,55,62,58.56666666666667,S,0,0,0,0,3.3333333333333335,0,0,0,0,0,0,0,0,3.4482758620689653,0,0,0,0,0,0,0,0,5.454545454545454,0,0,0,0,0,0
4823,Construction materials,1452124800000,62,62,60,55,55,62,58.8,S,0,0,0,0,0,3.3333333333333335,0,0,0,0,0,0,0,0,3.4482758620689653,0,0,0,0,0,0,0,0,5.454545454545454,0,0,0,0,0
4823,Construction materials,1452211200000,62,62,60,55,55,62,59.03333333333333,S,0,0,0,0,0,0,3.3333333333333335,0,0,0,0,0,0,0,0,3.4482758620689653,0,0,0,0,0,0,0,0,5.454545454545454,0,0,0,0
4823,Construction materials,1452297600000,62,62,62,55,55,62,59.266666666666666,S,0,0,0,0,0,0,0,3.3333333333333335,0,0,0,0,0,0,0,0,3.4482758620689653,0,0,0,0,0,0,0,0,5.454545454545454,0,0,0
4823,Construction materials,1452384000000,62,62,62,55,55,62,59.5,S,0,0,0,0,0,0,0,0,3.3333333333333335,0,0,0,0,0,0,0,0,3.4482758620689653,0,0,0,0,0,0,0,0,5.454545454545454,0,0
4823,Construction materials,1452470400000,64,62,62,55,55,64,59.8,U,3.225806451612903,0,0,0,0,0,0,0,0,3.3333333333333335,0,0,0,0,0,0,0,0,3.4482758620689653,0,0,0,0,0,0,0,0,5.454545454545454,0
4823,Construction materials,1452556800000,64,64,62,55,55,64,60.1,S,0,3.225806451612903,0,0,0,0,0,0,0,0,3.3333333333333335,0,0,0,0,0,0,0,0,3.4482758620689653,0,0,0,0,0,0,0,0,5.454545454545454
